geo,statistics
Oktibbeha,14765
Panola,9470
Pearl River,14170
Perry,2836
Pike,10613
Pontotoc,5435
Prentiss,5549
Quitman,2922
Rankin,18780
Scott,6279
Sharkey,1898
Simpson,7117
Smith,3682
Stone,3554
Sunflower,10903
Tallahatchie,4858
Tate,4898
Tippah,4760
Tishomingo,3784
Tunica,3251
Union,4872
Walthall,4508
Warren,11113
Washington,18448
Wayne,5113
Webster,2014
Wilkinson,2846
Winston,5459
Yalobusha,2750
Yazoo,9104
Missouri,945435
Adair,5477
Andrew,1558
Atchison,645
Audrain,4784
Barry,8207
Barton,2219
Bates,2908
Benton,3961
Bollinger,2353
Boone,28685
Buchanan,16350
Butler,9258
Caldwell,1375
Callaway,6095
Camden,6926
Cape Girardeau,11132
Carroll,1462
Carter,1647
Cass,9189
Cedar,3046
Chariton,1086
Christian,9798
Clark,1085
Clay,19965
Clinton,2216
Cole,9662
Cooper,2551
Crawford,5578
Dade,1262
Dallas Arkansas,3763
Daviess,1543
DeKalb,1782
Dent,3075
Douglas,3217
Dunklin,8415
Franklin,13732
Gasconade,2347
Gentry,970
Greene,47855
Grundy,1790
Harrison,1519
Henry,3613
Hickory,2239
Holt,706
Howard,1648
Howell,8418
Iron,2365
Jackson,124513
Jasper,21019
Jefferson,23987
Johnson,8505
Knox,801
Laclede,7328
Lafayette,4481
Lawrence,7396
Lewis,1522
Lincoln,6488
Linn,1955
Livingston,2339
McDonald,5570
Macon,2612
Madison,2362
Maries,1420
Marion,4794
Mercer,572
Miller,5107
Mississippi,3362
Moniteau,1906
Monroe,1442
Montgomery,2018
Morgan,4373
New Madrid,4691
Newton,9603
Nodaway,4137
Oregon Missouri,3001
Osage,1486
Ozark,2397
Pemiscot,5471
Perry,2122
Pettis,7178
Phelps,8493
Pike,3087
Platte,6401
Polk,6560
Pulaski,6658
Putnam,898
Ralls,1152
Randolph,4447
Ray,2559
Reynolds,1739
Ripley,3797
St. Charles,25706
St. Clair,2278
Ste. Genevieve,2062
St. Francois,12416
St. Louis,118607
Saline,3885
Schuyler,913
Scotland,865
Scott,7903
Shannon,2104
Shelby,1007
Stoddard,4782
Stone,5450
Sullivan,1178
Taney,10183
Texas Missouri,6295
Vernon,3773
Warren,4299
Washington,5524
Wayne,3573
Webster,6193
Worth,323
Wright,4696
St. Louis city,90199
Montana,153105
Beaverhead,1536
Big Horn,3586
Blaine,1546
Broadwater,702
Carbon,1185
Carter,195
Cascade,14428
Chouteau,1030
Custer,1777
Daniels,175
Dawson,1088
Deer Lodge,1751
Fallon,257
Fergus,1568
Flathead,12942
Gallatin,11859
Garfield,202
Glacier,4073
Golden Valley,159
Granite,495
Hill,2720
Jefferson,1093
Judith Basin,305
Lake,6862
Lewis and Clark,7101
Liberty,475
Lincoln,3986
McCone,276
Madison,983
Meagher,353
Mineral,736
Missoula,16277
Musselshell,865
Park,1992
Petroleum,98
Phillips,654
Pondera,1185
Powder River,206
Powell,1165
Prairie,163
Ravalli,6566
Richland,1019
Roosevelt,2840
Rosebud,1724
Sanders,2733
Sheridan,323
Silver Bow,6252
